date,sample,GAN_ours_default_9seed,GAN_ours_tf_faithful,GAN_authors_checkpoints_ported,LS,Ridge
1967-01-31,train,0.040454,0.038409,0.059511,0.457209,0.581078
1967-02-28,train,0.010826,0.020838,0.015532,1.242282,0.771519
1967-03-31,train,0.027215,0.023309,0.030959,0.926981,1.056532
1967-04-28,train,0.013746,0.018229,0.019268,0.638063,0.649627
1967-05-31,train,0.000159,-0.006171,-0.001296,0.791197,0.486207
1967-06-30,train,0.016411,0.025299,0.026600,0.674928,0.282436
1967-07-31,train,0.038346,0.045810,0.045715,0.340970,0.352959
1967-08-31,train,0.012136,0.013891,0.014795,0.915011,0.778939
1967-09-29,train,0.019487,0.022195,0.023213,0.679096,0.704794
1967-10-31,train,0.002704,0.010277,0.014104,0.666712,0.458106
1967-11-30,train,0.001589,-0.000406,0.002289,0.315223,0.185116
1967-12-29,train,0.026526,0.030499,0.030100,0.895845,0.841872
1968-01-31,train,0.031278,0.027881,0.030445,1.315572,1.241944
1968-02-29,train,0.002768,0.000250,0.017444,0.490400,0.334714
1968-03-29,train,0.006810,0.007808,0.004505,0.572202,0.438367
1968-04-30,train,0.038253,0.041889,0.042556,0.987335,0.884238
1968-05-31,train,0.031559,0.030717,0.029321,0.585554,0.798141
1968-06-28,train,0.022603,0.019597,0.023124,1.413489,1.263971
1968-07-30,train,0.022352,0.022194,0.024827,1.342134,0.920545
1968-08-30,train,0.016520,0.020554,0.021833,0.844131,0.658351
1968-09-30,train,0.015528,0.019962,0.026765,1.164402,0.859609
1968-10-31,train,0.015419,0.010926,0.016331,1.241915,1.173469
1968-11-29,train,0.012447,0.014970,0.018890,0.730161,0.393476
1968-12-31,train,0.013363,0.015194,0.010154,0.135009,0.014802
1969-01-31,train,0.006871,0.009413,0.011072,1.595281,0.768369
1969-02-28,train,0.016786,0.016605,0.026537,0.593378,0.495995
1969-03-28,train,0.012223,0.008580,0.011958,0.508772,0.520591
1969-04-30,train,0.005152,0.005840,0.006019,0.540979,0.245112
1969-05-29,train,0.013955,0.011068,0.016713,0.549303,0.754427
1969-06-30,train,0.014686,0.025987,0.026753,0.045444,-0.074962
1969-07-31,train,0.022400,0.024620,0.029618,0.904473,0.630671
1969-08-29,train,0.019187,0.022355,0.019972,0.553222,0.650960
1969-09-30,train,0.009950,0.013789,0.013877,0.398027,0.482176
1969-10-31,train,0.005187,0.012990,0.017900,1.027250,0.764381
1969-11-28,train,0.019878,0.019407,0.018468,1.223638,1.239668
1969-12-31,train,0.022694,0.024453,0.020430,0.834587,0.560130
1970-01-30,train,0.024130,0.024671,0.025124,1.489372,1.519736
